	cell9
1190	36.717
1191	37.6
1192	37.7
1193	37.033
1194	37.317
1195	37.85
1196	38.05
1197	37.783
1198	37.667
1199	37.267
1200	36.9
1201	37.05
1202	37.017
1203	36.667
1204	36.683
1205	37.183
1206	36.583
1207	37.717
1208	37.1
1209	37.083
1210	37.333
1211	36.467
1212	36.667
1213	38.367
1214	37.15
1215	35.6
1216	37.183
1217	37.517
1218	36.85
1219	37.85
1220	37.25
1221	37.833
1222	37.367
1223	37.3
1224	37.2
1225	37.183
1226	37.15
1227	38.4
1228	37.583
1229	36.733
1230	38.117
1231	37.467
1232	36.95
1233	37.55
1234	37.367
1235	36.683
1236	37.867
1237	38
1238	37.3
1239	37.017
1240	37.9
1241	37.867
1242	36.767
1243	36.55
1244	37.067
1245	37.783
1246	37.583
1247	36.717
1248	37.283
1249	36.9
1250	37.683
1251	37.983
1252	38.383
1253	36.8
1254	38.417
1255	37.667
1256	37.333
1257	37.483
1258	37.9
1259	35.717
1260	37.533
1261	37.617
1262	36.983
1263	38.533
1264	37.15
1265	36.95
1266	37.617
1267	37.133
1268	37.3
1269	36.183
1270	37.033
1271	37.95
1272	37.533
1273	37.333
1274	37.55
1275	38.367
1276	37
1277	38.583
1278	36.817
1279	36.683
1280	36.7
1281	37.617
1282	35.933
1283	36.383
1284	36.55
1285	37.133
1286	37.417
1287	36.383
1288	36.833
1289	37.583
1290	36.7
1291	37.817
1292	38.567
1293	37.45
1294	37.533
1295	36.95
1296	36.417
1297	36.683
1298	37.033
1299	37.267
1300	36.983
1301	37.95
1302	36.717
1303	37.633
1304	37.867
1305	37.433
1306	37.183
1307	37.517
1308	38.1
1309	37.933
1310	37.717
1311	37.983
1312	36.883
1313	38.517
1314	38.333
1315	36.6
1316	37.633
1317	38.083
1318	37.083
1319	36.317
1320	36.15
1321	35.933
1322	37.8
1323	36.7
1324	37.133
1325	37.983
1326	37.117
1327	37
1328	36.917
1329	37.95
1330	38.083
1331	37.167
1332	36.7
1333	37.55
1334	36.517
1335	36.85
1336	37
1337	37.667
1338	36.883
1339	35.95
1340	36.617
1341	36.95
1342	37.633
1343	37.1
1344	37.4
1345	36.883
1346	37.167
1347	37.633
1348	37.15
1349	37.333
1350	37.767
1351	37
1352	37.383
1353	36.583
1354	36.85
1355	36.8
1356	37.1
1357	36.917
1358	36.083
1359	36.85
1360	36.533
1361	36.55
1362	36.633
1363	37.283
1364	37.667
1365	38.233
1366	38
1367	36.917
1368	36.417
1369	36.6
1370	37.617
1371	37.2
1372	36.45
1373	37.133
1374	36.167
1375	36.017
1376	37.317
1377	35.983
1378	36.75
1379	37.683
1380	35.933
1381	37.483
1382	36.933
1383	36.383
1384	37.75
1385	36.517
1386	37.967
1387	38.167
1388	37.767
1389	36.867
1390	37.45
1391	37.25
1392	36.517
1393	36.85
1394	36.667
1395	36.85
1396	36.133
1397	36.333
1398	37.2
1399	36.283
1400	36.633
1401	37.4
1402	36.217
1403	37.25
1404	37.3
1405	37.2
1406	36.267
1407	35.917
1408	36.95
1409	37.683
1410	38.283
1411	36.65
1412	36.317
1413	36.917
1414	37.65
1415	37.95
1416	35.8
1417	37.317
1418	37.617
1419	36.7
1420	37.033
1421	36.25
1422	36.483
1423	37.25
1424	37.033
1425	37.117
1426	37.983
1427	36.35
1428	35.517
1429	37.333
1430	36.567
1431	37.867
1432	38.333
1433	38.583
1434	37.617
1435	38.983
1436	38.65
1437	38.4
1438	40.7
1439	39.3
1440	39.833
1441	39.617
1442	39.633
1443	39.15
1444	38.6
1445	39.6
1446	39.183
1447	40.167
1448	38.083
1449	39
1450	39.383
1451	38.8
1452	38.967
1453	38.383
1454	38.317
1455	38.883
1456	38.583
1457	38.65
1458	36.567
1459	37.183
1460	38.517
1461	36.983
1462	37.35
1463	36.517
1464	37.767
1465	37.883
1466	38.017
1467	37.417
1468	37.817
1469	37.383
1470	36.967
1471	37.767
1472	37.517
1473	37.25
1474	37.983
1475	37.767
1476	36.8
1477	36.683
1478	37.417
1479	37.733
1480	36.85
1481	37.733
1482	37.25
1483	37.367
1484	37.7
1485	36.083
1486	37.683
1487	36.483
1488	37.067
1489	36.467
1490	36.983
1491	36.617
1492	36.517
1493	37.5
1494	37.633
1495	37.25
1496	36.867
1497	36.9
1498	37.2
1499	36.967
1500	36.983
1501	37.433
1502	37.283
1503	37.333
1504	37.517
1505	37.867
1506	37.1
1507	36.883
1508	37.667
1509	37.4
1510	37.733
1511	36.667
1512	36.5
1513	37.067
1514	37
1515	37.45
1516	38.433
1517	36.75
1518	37.483
1519	36.683
1520	37.2
1521	36.783
1522	37.3
1523	37.383
1524	37.283
1525	38
1526	37.05
1527	37.033
1528	36.65
1529	36.567
1530	37.2
1531	36.183
1532	37.233
1533	36.333
1534	37.533
1535	36.75
1536	36.883
1537	37.217
1538	37.15
1539	36.7
1540	37.967
1541	38.367
1542	36.65
1543	38.117
1544	37.167
1545	35.917
1546	36.4
1547	37.75
1548	37.133
1549	36.25
1550	38.4
1551	37.967
1552	37.967
1553	36.867
1554	36.817
1555	38.2
1556	37.233
1557	37.833
1558	37.8
1559	38.533
1560	36.967
1561	35.617
1562	37.733
1563	36.033
1564	38.383
1565	36.883
1566	36.783
1567	36.967
1568	36.567
1569	36.4
1570	37.3
1571	36.65
1572	37.567
1573	37.117
1574	35.917
1575	35.517
1576	38.35
1577	36.867
1578	35.2
1579	37.5
1580	36.817
1581	36.483
1582	36.317
1583	36.383
1584	36.3
1585	36.733
1586	36.717
1587	37.217
1588	37.133
1589	36.5
1590	37.65
1591	37.767
1592	36.55
1593	36.767
1594	36.283
1595	37.033
1596	37.2
1597	37.267
1598	37.117
1599	36.95
1600	37.367
1601	37.083
1602	37.267
1603	35.45
1604	36.45
1605	37.467
1606	36.4
1607	37.267
1608	36.667
1609	36.833
1610	37.467
1611	37.667
1612	37.983
1613	37.617
1614	38.683
1615	37.267
1616	36.883
1617	37.6
1618	36.733
1619	37.083
1620	37.15
1621	36.683
1622	38.083
1623	37.1
1624	36.817
1625	36.9
1626	35.8
1627	37.05
1628	37
1629	35.9
1630	36.767
1631	37.633
1632	36.317
1633	37.117
1634	36.683
1635	36.483
1636	37.017
1637	36.75
1638	37.45
1639	36.733
1640	36.55
1641	36.483
1642	37.117
1643	36.633
1644	36.167
1645	36.2
1646	37.35
1647	36.933
1648	36.983
1649	37.15
1650	36.867
1651	37.017
1652	36.85
1653	37.3
1654	37.25
1655	36.633
1656	35.733
1657	36.233
1658	37.733
1659	36.167
1660	36.3
1661	36.717
1662	35.933
1663	36.25
1664	37.133
1665	36.217
1666	36.75
1667	35.567
1668	36.817
1669	36.267
1670	36.4
1671	36.883
1672	36.383
1673	36.55
1674	37.267
1675	36.7
1676	37.7
1677	37.517
1678	36.95
1679	37.483
1680	36.533
1681	37.567
1682	38.683
1683	37.483
1684	39.433
1685	37.683
1686	39.117
1687	38.483
1688	39.283
1689	38.733
1690	38.717
1691	39.633
1692	39.6
1693	38.25
1694	39.9
1695	39.883
1696	38.95
1697	38.233
1698	38.933
1699	38.133
1700	38.717
1701	38.967
1702	38.7
1703	38.55
1704	38.717
1705	37.717
1706	38.1
1707	38.15
1708	38.467
1709	37.867
1710	38.717
1711	37.5
1712	37.917
1713	37.5
1714	37.55
1715	37.767
1716	37.583
1717	38.633
1718	37.667
1719	36.5
1720	37.4
1721	35.783
1722	37.533
1723	37.6
1724	37.933
1725	37.533
1726	36
1727	36.2
1728	37.917
1729	37.217
1730	37.55
1731	37.35
1732	38.083
1733	35.833
1734	37.017
1735	37.083
1736	37.6
1737	37.033
1738	38.2
1739	36.8
1740	35.9
1741	38.233
1742	37.683
1743	36.55
1744	36.967
1745	36.983
1746	37.3
1747	35.933
1748	36.15
1749	38.133
1750	37.833
1751	36.867
1752	36.917
1753	37.467
1754	37.817
1755	37.833
1756	37.15
1757	37.433
1758	35.617
1759	36.6
1760	36.9
1761	36.117
1762	37.35
1763	36.7
1764	37.433
1765	36.767
1766	37.167
1767	36.867
1768	36.767
1769	36.65
1770	36.733
1771	37.467
1772	36.733
1773	36.767
1774	37.233
1775	35.15
1776	37.467
1777	35.617
1778	36.733
1779	36.433
1780	37.283
1781	37.683
1782	37.217
1783	36.8
1784	37.9
1785	36.917
1786	37.05
1787	36.283
1788	37.733
1789	37.167
1790	37.233
1791	36.183
1792	39.033
1793	36.567
1794	36.567
1795	37.417
1796	37.55
1797	37.4
1798	35.883
1799	37.25
1800	37.4
1801	36.4
1802	36.367
1803	36.983
1804	36.433
1805	36.7
1806	36.783
1807	36.717
1808	37.15
1809	37.65
1810	36.567
1811	37.633
1812	36.9
1813	37.35
1814	38.033
1815	37.367
1816	37.4
1817	37.817
1818	36.467
1819	37.05
1820	37.883
1821	37.517
1822	38.017
1823	36.7
1824	36.683
1825	37.167
1826	38.167
1827	37.05
1828	37.7
1829	36.917
1830	38.333
1831	38.567
1832	36.783
1833	36.567
1834	37.617
1835	36.467
1836	37.75
1837	37.7
1838	37.217
1839	36.783
1840	36.7
1841	37.417
1842	37.233
1843	37.4
1844	36.75
1845	37.7
1846	37.5
1847	37.4
1848	38.283
1849	38.05
1850	36.667
1851	36.383
1852	37.35
1853	37.05
1854	35.883
1855	36.867
1856	37.533
1857	37.083
1858	36.633
1859	36.6
1860	37.233
1861	37.117
1862	38.35
1863	36.917
1864	36.217
1865	37.133
1866	36.733
1867	36.733
1868	36.55
1869	36.767
1870	37.333
1871	36.017
1872	36.867
1873	36.167
1874	38.933
1875	36.067
1876	36.4
1877	37.383
1878	36.667
1879	36.367
1880	36.5
1881	36.667
