	 cell2
47,728	-0,011357
47,766	-0,011528
47,804	-0,013206
47,842	-0,014716
47,88	-0,016971
47,918	-0,013275
47,956	-0,010291
47,994	-0,010199
48,032	-0,009411
48,07	-0,010201
48,108	-0,008326
48,146	-0,009647
48,184	-0,011116
48,222	-0,008228
48,26	-0,012614
48,298	-0,010522
48,336	-0,009468
48,374	-0,011099
48,412	-0,012097
48,45	-0,009563
48,488	-0,008877
48,526	-0,005879
48,564	-0,007581
48,602	-0,004587
48,64	-0,009607
48,678	-0,006097
48,716	-0,007092
48,754	-0,008854
48,792	-0,00947
48,83	-0,011069
48,868	-0,009033
48,906	-0,008193
48,944	-0,009384
48,982	-0,007655
49,02	-0,008118
49,058	-0,004397
49,096	-0,001229
49,134	0,001926
49,172	0,003334
49,21	0,003492
49,248	-0,000162
49,286	-0,000776
49,324	-0,000114
49,362	-0,001871
49,4	-0,001115
49,438	-0,00076
49,476	-0,003268
49,514	-0,000993
49,552	-0,002499
49,59	-0,003155
49,628	-0,001619
49,666	-0,004481
49,704	-0,005717
49,742	-0,00894
49,78	-0,005257
49,818	-0,007791
49,856	-0,00692
49,894	-0,006366
49,932	-0,008315
49,97	-0,007158
50,008	-0,002836
50,046	-0,000622
50,084	0,008361
50,122	0,015928
50,16	0,027801
50,198	0,041049
50,236	0,055085
50,274	0,064788
50,312	0,073545
50,35	0,085258
50,388	0,093633
50,426	0,10139
50,464	0,107533
50,502	0,115136
50,54	0,116163
50,578	0,116435
50,616	0,113233
50,654	0,111
50,692	0,108919
50,73	0,107808
50,768	0,106754
50,806	0,107345
50,844	0,105002
50,882	0,10123
50,92	0,097769
50,958	0,092716
50,996	0,089595
51,034	0,091166
51,072	0,086786
51,11	0,086516
51,148	0,083505
51,186	0,079873
51,224	0,075476
51,262	0,069398
51,3	0,068219
51,338	0,063554
51,376	0,062747
51,414	0,062685
51,452	0,060741
51,49	0,059541
51,528	0,059253
51,566	0,051774
51,604	0,051435
51,642	0,047914
51,68	0,045653
51,718	0,043387
51,756	0,047163
51,794	0,043547
51,832	0,043806
51,87	0,048074
51,908	0,044667
51,946	0,0416
51,984	0,044611
52,022	0,044011
52,06	0,040667
52,098	0,039704
52,136	0,04156
52,174	0,037599
52,212	0,039272
52,25	0,038761
52,288	0,038192
52,326	0,035473
52,364	0,030924
52,402	0,031263
52,44	0,029194
52,478	0,029384
52,516	0,027095
52,554	0,02515
52,592	0,022343
52,63	0,022215
52,668	0,022102
52,706	0,0183
52,744	0,021472
52,782	0,020607
52,82	0,020188
52,858	0,016059
52,896	0,013362
52,934	0,01325
52,972	0,010136
53,01	0,006884
53,048	0,002181
53,086	-0,000277
53,124	-0,000821
53,162	-0,000278
53,2	-0,00278
53,238	-0,003259
53,276	0,003326
53,314	0,002786
53,352	0,003431
53,39	0,000818
53,428	0,006334
53,466	0,002566
53,504	0,004033
53,542	0,006789
53,58	0,006923
53,618	0,007328
53,656	0,009158
53,694	0,008974
53,732	0,004479
53,77	0,00195
53,808	0,002009
53,846	-0,000179
53,884	-0,000527
53,922	-0,000844
53,96	0,001165
53,998	0,004753
54,036	0,002219
54,074	-0,000743
54,112	-0,00406
54,15	-0,007073
54,188	-0,009637
54,226	-0,008181
54,264	-0,008096
54,302	-0,005446
